journal;volume;year;isbn;pages
Inf. Sci.;355-356;2016;0-07-486658-3;178
Int. J. Intell. Comput. Cybern.;12;2019;0-13-811180-4;161
Computing;94;2012;0-923245-24-3;328
Int. J. Manuf. Technol. Manag.;32;2018;0-7717-8648-4;129
IEEE Trans. Medical Imaging;18;1999;1-4012-0627-1;119
J. Comput. Inf. Sci. Eng.;8;2008;0-7963-6469-9;366
IEEE Geosci. Remote. Sens. Lett.;6;2009;1-4228-2090-4;196
Biomed. Signal Process. Control.;9;2014;1-163-66239-9;119
J. Comb. Theory, Ser. A;120;2013;0-543-96681-X;353
SIAM J. Matrix Anal. Appl.;35;2014;0-637-07906-X;242
Int. J. Satell. Commun. Netw.;37;2019;0-7314-2011-X;356
Comput. Meas. Group Trans.;1;1989;1-230-74977-2;209
CoRR;abs/2110.06877;2021;0-661-63263-6;181
CoRR;abs/2006.09838;2020;1-241-42217-6;161
CoRR;abs/0808.2530;2008;1-921257-41-5;120
Math. Program.;76;1996;0-05-505891-4;387
Coll. Res. Libr.;73;2012;0-927990-82-2;169
Int. J. Comput. Geom. Appl.;17;2007;0-667-62221-7;273
Softw. Pract. Exp.;43;2013;0-635-75902-0;174
IEEE J. Emerg. Sel. Topics Circuits Syst.;3;2013;1-72528-279-8;308
Knowl. Eng. Rev.;20;2005;1-86672-999-3;331
CoRR;abs/1903.08114;2019;0-942734-66-1;139
CoRR;abs/2201.04453;2022;0-15-210822-X;304
ACM Trans. Graph.;31;2012;1-4712-8272-4;311
Electron. J. Graph Theory Appl.;6;2018;1-69708-988-7;276
CoRR;abs/2103.12928;2021;1-72024-962-8;245
IEEE Trans. Autom. Control.;40;1995;1-884542-38-7;292
Electron. J. Comb.;16;2009;1-889708-58-5;280
Mach. Learn.;75;2009;0-431-21173-6;130
Int. J. Comput. Math.;88;2011;0-311-58683-X;105
ACM J. Exp. Algorithmics;14;2009;0-210-42429-X;189
ACM Comput. Surv.;49;2016;1-63178-033-6;185
CoRR;abs/1805.11714;2018;1-131-77109-5;382
CoRR;abs/1801.03668;2018;0-670-42648-2;169
CoRR;abs/1904.00948;2019;0-7229-1065-7;179
Trans. I R E Prof. Group Electron. Comput.;1;1952;1-988175-28-3;241
Proces. del Leng. Natural;66;2021;0-7851-9229-8;155
CoRR;abs/1612.03852;2016;0-16-584715-8;275
CoRR;abs/1709.08950;2017;1-884186-37-8;103
Int. J. Comput. Appl. Technol.;63;2020;1-9808-1508-9;300
INFORMS J. Comput.;7;1995;1-124-78686-4;120
Appl. Soft Comput.;79;2019;1-920510-64-8;244
CoRR;abs/1910.07655;2019;0-8145-7335-5;128
Electron. J. Comb.;27;2020;0-86217-364-7;236
First Monday;11;2006;1-56211-435-2;102
CoRR;abs/1708.01060;2017;0-09-757774-X;238
Syst. Control. Lett.;94;2016;0-08-441938-5;214
Int. J. Digit. Libr. Syst.;3;2012;0-14-061591-1;221
SIAM J. Optim.;5;1995;0-592-15049-6;121
Australas. J Comb.;61;2015;1-00-297453-4;329
CoRR;abs/1603.06765;2016;0-8493-9575-5;264
Inf. Syst. E Bus. Manag.;6;2008;0-356-21077-4;207
Rev. Colomb. de Computación;1;2000;1-4411-0874-2;342
CoRR;abs/1906.06301;2019;1-123-21534-0;167
LNCS Trans. Aspect Oriented Softw. Dev.;7;2010;0-605-49349-9;108
Int. J. Softw. Sci. Comput. Intell.;10;2018;1-57771-404-0;138
Int. J. Softw. Informatics;2;2008;1-64202-125-3;229
Stat. Methods Appl.;15;2006;0-02-985386-9;316
CoRR;abs/1812.07931;2018;1-117-69673-1;164
Random Struct. Algorithms;34;2009;1-79247-960-3;185
J. Chem. Inf. Comput. Sci.;41;2001;0-15-311035-X;293
J. Univers. Comput. Sci.;26;2020;1-72689-564-5;120
CoRR;abs/2012.04245;2020;1-144-73566-1;257
Medical Image Anal.;44;2018;1-4353-7853-9;169
J. Medical Syst.;31;2007;1-63496-713-5;350
Telematics Informatics;22;2005;0-02-961551-8;129
NeuroImage;87;2014;1-225-05548-2;358
CoRR;abs/1203.1105;2012;1-148-59175-3;239
Comput. Geom.;26;2003;0-555-17380-1;181
CoRR;abs/2108.12315;2021;0-394-50690-1;368
BMC Medical Informatics Decis. Mak.;4;2004;1-04-054164-X;114
J. Econ. Theory;145;2010;0-8491-5394-8;207
IEEE Trans. Syst. Man Cybern. Part C;42;2012;1-68657-288-3;379
Sci. Comput. Program.;38;2000;1-7348639-0-0;203
J. Comput. Appl. Math.;294;2016;1-971870-52-8;269
Math. Log. Q.;39;1993;0-9944796-2-X;188
J. Syst. Softw.;170;2020;0-594-62021-X;237
CoRR;abs/2004.14714;2020;0-589-51289-7;105
J. Cogn. Neurosci.;30;2018;1-59940-695-0;342
IEEE Trans. Vis. Comput. Graph.;19;2013;0-15-824844-9;253
Int. J. Autom. Comput.;18;2021;0-515-88195-3;298
CoRR;abs/1908.01671;2019;0-9509156-7-X;168
IEEE Trans. Ind. Electron.;52;2005;1-195-93237-5;352
Discret. Appl. Math.;146;2005;1-115-43567-1;232
CoRR;cs.DB/9909016;1999;1-5266-3124-5;223
Coll. Res. Libr.;80;2019;0-611-95901-1;259
Comput. Chem. Eng.;140;2020;1-949924-50-5;351
Qual. Reliab. Eng. Int.;26;2010;1-392-93769-8;226
Array;5;2020;1-58837-387-8;230
Electron. Publ.;1;1988;1-61398-783-8;332
Int. J. Strateg. Inf. Technol. Appl.;2;2011;0-434-91948-9;215
Inf. Comput.;238;2014;0-673-24365-6;346
CoRR;abs/1702.02850;2017;1-00-758387-8;103
CoRR;abs/1810.06455;2018;1-4620-4540-5;393
Health Informatics J.;24;2018;0-7248-4117-2;205
IEEE Trans. Mob. Comput.;14;2015;1-184-46967-9;162
CoRR;abs/1801.07090;2018;1-75959-121-1;358
Comput. Networks;41;2003;1-272-18634-2;394
Des. Codes Cryptogr.;89;2021;1-03-076811-0;394
Electron. Libr.;24;2006;0-8160-3674-8;132
CoRR;abs/1407.6183;2014;0-7441-3422-6;340
CoRR;abs/2107.07409;2021;1-4403-5952-0;271
J. Parallel Distributed Comput.;87;2016;0-7363-7288-1;290
CoRR;abs/2105.02409;2021;1-61000-866-9;157
CoRR;abs/1712.09448;2017;0-11-709642-3;273
Int. J. Manuf. Mater. Mech. Eng.;7;2017;0-410-31691-1;252
CoRR;abs/1602.04792;2016;0-09-235562-5;144
CoRR;abs/2111.08565;2021;1-7344211-3-4;356
J. Autom. Mob. Robotics Intell. Syst.;7;2013;0-8251-7136-9;215
CoRR;abs/1905.04616;2019;0-412-35163-3;168
Int. J. Netw. Virtual Organisations;21;2019;1-235-45524-6;392
Interactions;26;2019;0-88328-375-1;178
IEEE Trans. Veh. Technol.;68;2019;0-531-19331-4;385
IBM Syst. J.;36;1997;0-496-44916-8;198
Microelectron. J.;45;2014;1-101-75412-5;227
IEEE Trans. Software Eng.;23;1997;0-220-68100-7;226
IEEE Netw.;27;2013;0-643-79314-3;293
CoRR;abs/1812.05463;2018;1-02-032457-0;305
CoRR;abs/2011.00261;2020;0-7722-9215-9;320
Int. J. Medical Informatics;143;2020;1-72037-077-X;360
Behav. Inf. Technol.;23;2004;0-8176-0059-0;201
CoRR;abs/1006.5877;2010;1-07-764538-4;132
Frontiers Neuroinformatics;14;2020;0-16-524295-7;354
RFC;8495;2018;0-612-79632-9;316
CoRR;abs/1810.04825;2018;0-270-81331-4;369
CoRR;abs/1412.0129;2014;0-346-41869-0;139
CoRR;abs/2106.02887;2021;0-239-43171-5;354
Appl. Artif. Intell.;30;2016;0-505-67476-9;286
IEEE ACM Trans. Audio Speech Lang. Process.;24;2016;1-966429-22-3;261
J. Comput. Syst. Sci.;47;1993;1-55874-643-9;148
IEICE Trans. Fundam. Electron. Commun. Comput. Sci.;95-A;2012;1-280-19156-2;283
J. Comput. Inf. Syst.;41;2001;0-04-519994-9;372
J. ACM;51;2004;0-2289-3420-6;334
CoRR;abs/0806.2730;2008;0-672-76516-0;324
J. WSCG;20;2012;1-07-127386-8;349
J. Univers. Comput. Sci.;22;2016;0-04-484559-6;198
CoRR;abs/1909.11251;2019;1-202-57830-6;358
CoRR;abs/1708.01817;2017;0-200-38161-X;286
Fundam. Informaticae;56;2003;1-77901-133-4;346
Commun. ACM;4;1961;1-70760-440-1;273
Asymptot. Anal.;51;2007;0-214-68936-0;344
SIAM J. Comput.;29;1999;1-56637-842-7;386
Sci. Program.;16;2008;0-383-38952-6;381
Int. J. Appl. Earth Obs. Geoinformation;73;2018;1-84246-319-5;283
Int. J. Distributed Sens. Networks;10;2014;1-4010-2424-6;307
Ann. Oper. Res.;194;2012;0-352-26078-5;289
Wirel. Pers. Commun.;88;2016;1-4625-3584-4;100
Numer. Linear Algebra Appl.;22;2015;1-937745-38-4;184
J. Graph Theory;58;2008;1-81154-323-5;340
J. Artif. Soc. Soc. Simul.;10;2007;0-220-16789-3;241
Discret. Math.;312;2012;0-575-93715-7;388
Australas. J Comb.;36;2006;0-06-637354-9;183
J. Data Intell.;2;2021;0-557-52518-7;304
Symmetry;9;2017;1-81151-059-0;153
Nat.;473;2011;1-79157-348-7;297
CoRR;abs/1612.02816;2016;1-4370-0040-1;351
J. Medical Syst.;43;2019;0-9737254-6-X;163
CoRR;abs/2202.13014;2022;1-05-894269-7;302
CoRR;abs/1911.08148;2019;0-649-59367-7;343
Electron. Notes Theor. Comput. Sci.;17;1998;1-85211-241-7;316
Int. J. Biomed. Imaging;2012;2012;1-71980-791-4;333
J. Multivar. Anal.;133;2015;0-19-811897-X;231
Discret. Math.;193;1998;1-65781-553-6;140
IEEE Trans. Circuits Syst. I Regul. Pap.;66-I;2019;0-676-74267-X;152
Signal Process.;89;2009;1-61676-109-1;214
Pattern Anal. Appl.;5;2002;1-231-88660-9;130
Theor. Comput. Sci.;306;2003;0-476-36543-0;384
Expert Syst. Appl.;94;2018;1-991920-96-2;141
CoRR;abs/1306.5156;2013;0-500-27459-2;314
Comput. Biol. Medicine;134;2021;1-69187-116-8;293
CoRR;abs/1212.3171;2012;1-77840-159-7;364
Theor. Comput. Sci.;155;1996;0-341-70901-8;188
IEEE Trans. Parallel Distributed Syst.;16;2005;1-896111-10-6;328
Int. J. Sens. Networks;22;2016;0-663-95149-6;217
Int. J. Commun. Networks Distributed Syst.;5;2010;0-15-255712-1;207
CoRR;abs/1603.04591;2016;0-204-06021-4;349
CoRR;abs/1909.04289;2019;0-17-135351-X;152
ACM SIGCSE Bull.;37;2005;1-02-002265-5;390
CoRR;abs/2103.11692;2021;0-383-40897-0;146
Biol. Cybern.;107;2013;1-307-02536-6;136
CoRR;abs/2201.05772;2022;0-904710-26-2;258
Eur. J. Control;57;2021;1-918467-92-7;153
Neurocomputing;170;2015;0-448-16702-6;290
Computación y Sistemas;23;2019;0-7103-7200-0;312
CoRR;abs/1808.05640;2018;1-5062-1084-8;299
Internet Res.;31;2021;0-695-96227-2;137
Secur. Commun. Networks;2020;2020;0-349-89592-9;190
Inf. Sci.;589;2022;1-878382-18-7;227
IEEE Trans. Dependable Secur. Comput.;19;2022;0-00-311563-1;273
Knowl. Based Syst.;50;2013;0-449-19877-4;392
CoRR;abs/1302.6835;2013;1-389-99413-9;165
Knowl. Based Syst.;185;2019;0-18-910660-3;120
Data Knowl. Eng.;44;2003;1-4307-7374-X;179
Comput. Sci. Inf. Syst.;7;2010;1-9871-1384-5;175
J. Adv. Comput. Intell. Intell. Informatics;15;2011;1-291-47676-8;295
Future Gener. Comput. Syst.;90;2019;0-525-86328-1;104
Comput. Geom.;3;1993;1-71698-946-9;320
IEEE Trans. Dependable Secur. Comput.;12;2015;1-74602-654-5;305
Oper. Res. Lett.;24;1999;1-4708-0612-6;124
Rev. d'Intelligence Artif.;30;2016;1-77539-992-3;173
CoRR;abs/1907.11093;2019;0-469-01566-7;325
Appl. Artif. Intell.;8;1994;0-7126-2786-3;210
IEEE Trans. Wirel. Commun.;17;2018;0-482-42190-8;201
J. Log. Comput.;20;2010;1-125-29493-0;375
Discret. Math.;276;2004;0-285-32076-9;163
Reliab. Eng. Syst. Saf.;154;2016;0-03-733301-1;124
J. Comb. Theory, Ser. A;22;1977;1-70229-280-0;359
login Usenix Mag.;30;2005;1-171-09145-1;101
Multim. Tools Appl.;74;2015;0-507-50257-4;303
Inf. Sci.;12;1977;1-5098-1356-X;271
Int. J. Intell. Comput. Cybern.;4;2011;1-217-33577-3;254
Online Soc. Networks Media;5;2018;1-4445-0043-0;294
Frontiers Robotics AI;2;2015;0-276-03107-5;212
Commun. Nonlinear Sci. Numer. Simul.;29;2015;1-221-04398-6;238
Neurocomputing;392;2020;1-4284-9702-1;247
J. Parallel Distributed Comput.;20;1994;1-353-08130-3;330
Int. J. Technol. Manag.;29;2005;1-949460-37-1;151
Vis. Comput.;21;2005;1-5418-4127-1;369
CoRR;abs/2007.14527;2020;0-7725-2513-7;170
Math. Comput. Simul.;190;2021;0-01-875036-2;171
Datenbank-Spektrum;2;2002;1-997686-21-X;116
J. Robotics;2020;2020;1-212-01765-X;203
Cogn. Technol. Work.;21;2019;0-17-523724-7;258
Comput. Electr. Eng.;27;2001;1-67500-446-3;367
Int. J. Softw. Eng. Knowl. Eng.;7;1997;0-249-36188-4;239
CoRR;abs/1104.4669;2011;0-7684-0794-X;201
AI Mag.;30;2009;1-62873-655-0;180
CoRR;abs/0909.1780;2009;0-19-068276-0;389
J. Cheminformatics;6;2014;1-176-66793-9;281
CoRR;abs/1809.10921;2018;0-8372-0988-9;279
CoRR;abs/cs/0510007;2005;0-04-308088-X;214
Comput. Methods Programs Biomed.;180;2019;1-262-08507-1;110
CoRR;abs/2010.12065;2020;1-66503-216-2;213
Environ. Model. Softw.;52;2014;1-70845-176-5;113
Int. J. Interact. Mob. Technol.;14;2020;0-230-66503-9;150
CoRR;abs/2106.03329;2021;1-185-32813-0;121
NeuroImage;215;2020;1-05-193347-1;254
CoRR;abs/2004.12941;2020;0-315-67036-3;339
Int. J. Sociotechnology Knowl. Dev.;5;2013;0-233-56096-3;105
CoRR;abs/1705.08056;2017;1-4399-7447-0;358
CoRR;abs/2105.08176;2021;0-379-41603-4;327
Discret. Comput. Geom.;20;1998;0-87369-573-9;268
Cogn. Process.;10;2009;1-4073-3288-0;348
CoRR;abs/1611.00183;2016;1-153-01386-X;341
Inteligencia Artif.;23;2020;1-927006-51-1;126
CoRR;abs/2001.10173;2020;1-5256-2027-4;269
J. Comput. Appl. Math.;404;2022;0-7259-6184-8;111
J. Vis. Commun. Image Represent.;58;2019;1-5212-5269-6;391
IBM J. Res. Dev.;46;2002;0-01-452658-1;334
CoRR;abs/1905.07033;2019;0-01-047843-4;387
Neurocomputing;127;2014;1-04-758434-4;285
Int. J. Comput. Linguistics Chin. Lang. Process.;1;1996;0-8268-4452-9;204
Int. J. Robotics Res.;40;2021;0-17-046510-1;247
J. Softw. Evol. Process.;26;2014;1-67271-708-6;148
RFC;4570;2006;1-307-87106-2;249
J. Log. Program.;19/20;1994;1-247-05723-2;382
J. Algorithms;30;1999;0-9610326-0-X;258
J. Comput. Chem.;19;1998;1-09-092549-2;270
CoRR;abs/2010.06584;2020;0-695-68195-8;302
J. Decis. Syst.;14;2005;0-248-61516-5;226
CoRR;abs/1510.02867;2015;1-4178-9374-5;387
CoRR;abs/1408.3438;2014;1-380-97129-2;281
Inf. Softw. Technol.;44;2002;1-279-58901-9;129
CoRR;abs/1911.09233;2019;0-283-93234-1;276
J. Parallel Distributed Comput.;23;1994;0-532-13941-0;207
IEEE Trans. Autom. Control.;58;2013;1-321-09035-8;396
CoRR;abs/1703.09202;2017;0-14-685505-1;246
CoRR;abs/2001.10382;2020;1-290-11695-4;149
Artif. Life Robotics;1;1997;0-89384-021-1;230
CoRR;abs/1209.3089;2012;1-03-431458-0;223
Appl. Math. Comput.;322;2018;0-11-531448-2;126
CoRR;abs/1609.01789;2016;1-931177-11-2;191
CoRR;abs/2010.08920;2020;0-87537-591-X;376
CoRR;abs/2008.10587;2020;0-7755-2373-9;327
Inf. Sci.;435;2018;0-9516430-5-3;363
CoRR;abs/2112.03712;2021;0-251-63302-0;112
Artif. Life Robotics;19;2014;1-64199-683-8;273
IEEE Trans. Signal Process.;59;2011;0-926292-03-X;372
ACM Journal on Computing and Cultural Heritage;14;2021;1-4910-2772-X;247
Organ. Sci.;23;2012;1-9991791-6-1;367
J. Multivar. Anal.;143;2016;1-374-07415-2;253
Electron. Notes Theor. Comput. Sci.;35;2000;0-7135-5030-9;160
Algorithms Mol. Biol.;7;2012;0-268-41213-8;242
CoRR;abs/1703.02168;2017;0-204-06449-X;321
Nat.;577;2020;0-07-068390-5;287
SIGMETRICS Perform. Evaluation Rev.;42;2014;0-9936767-9-0;268
CoRR;abs/2005.01497;2020;0-14-827908-2;202
IEEE Robotics Autom. Lett.;4;2019;1-4636-1916-2;186
SIGIR Forum;18;1984;0-566-11982-X;386
Appl. Math. Comput.;411;2021;0-09-880589-4;321
RITA;3;1996;1-67685-235-2;206
J. Am. Medical Informatics Assoc.;22;2015;1-82574-834-9;279
SIAM J. Comput.;15;1986;0-86179-259-9;292
SIGARCH Comput. Archit. News;33;2005;1-942900-97-X;378
SIGBED Rev.;1;2004;1-59852-889-0;273
Data Sci. J.;10;2011;1-172-99465-X;145
IEEE Cloud Comput.;1;2014;1-06-219485-3;190
Photonic Netw. Commun.;13;2007;0-16-349691-9;222
NeuroImage;188;2019;0-572-05786-5;234
CoRR;abs/2012.00096;2020;1-4959-3373-3;229
J. Parallel Distributed Comput.;133;2019;1-297-02890-2;273
Comput. Law Secur. Rev.;28;2012;1-920282-60-2;154
IEEE Ann. Hist. Comput.;38;2016;1-75541-291-6;129
SIAM J. Numer. Anal.;38;2000;1-117-99383-3;147
CoRR;abs/1105.2972;2011;0-348-74804-3;117
CoRR;abs/1110.0084;2011;0-411-49746-4;322
Ann. Oper. Res.;103;2001;1-966457-84-7;160
Bull. EATCS;43;1991;1-04-937524-6;109
CoRR;abs/1701.00248;2017;0-621-46785-5;217
Acta Informatica;7;1976;0-637-29581-1;313
Int. J. Man Mach. Stud.;22;1985;1-08-323587-7;195
CoRR;abs/1512.01996;2015;0-7454-1199-1;162
Internet Things;13;2021;1-70317-446-1;371
CoRR;abs/2107.14561;2021;0-15-842186-8;270
Appl. Ontology;1;2005;0-465-60156-1;200
Comput. Educ.;151;2020;0-308-12259-3;388
Graph. Model.;63;2001;1-5218-7708-4;235
CoRR;abs/2112.15462;2021;1-83079-316-0;215
Comput. Math. Organ. Theory;22;2016;0-560-08057-3;318
J. Parallel Distributed Comput.;155;2021;0-483-35941-6;169
Presence Teleoperators Virtual Environ.;2;1993;1-03-903069-6;196
Robotica;9;1991;1-189-46260-5;216
Speech Commun.;57;2014;0-234-41783-8;151
IEICE Trans. Fundam. Electron. Commun. Comput. Sci.;94-A;2011;0-912180-78-1;220
Ann. Math. Artif. Intell.;78;2016;0-7383-9236-7;355
Int. J. Comput. Intell. Stud.;4;2015;1-85300-480-4;249
IACR Cryptol. ePrint Arch.;2008;2008;1-308-31848-0;146
Eur. Trans. Telecommun.;18;2007;0-86570-042-7;330
Int. J. IT Bus. Alignment Gov.;7;2016;1-5143-5859-X;268
CoRR;abs/1709.07101;2017;0-909881-14-6;287
Inf. Res.;21;2016;0-546-35941-8;150
AStA Wirtschafts und Sozialstatistisches Arch.;5;2012;0-900261-33-1;371
CoRR;abs/2201.07714;2022;0-18-742335-0;323
CoRR;abs/2011.02106;2020;0-372-43198-4;333
Comput. Commun.;16;1993;1-128-29558-X;110
CoRR;abs/2001.05022;2020;0-04-086795-1;179
CoRR;abs/1801.00906;2018;0-545-16105-3;156
J. Inf. Sci.;46;2020;0-05-359850-4;398
IEEE Geosci. Remote. Sens. Lett.;17;2020;1-334-61462-8;236
Comput. Stat. Data Anal.;51;2006;1-265-46804-4;354
Int. J. Fuzzy Log. Intell. Syst.;7;2007;1-08-401151-4;393
CoRR;abs/1812.02978;2018;1-4962-1961-9;255
Neurocomputing;160;2015;1-09-065263-1;371
Appl. Intell.;7;1997;1-00-442312-8;378
Int. J. Pattern Recognit. Artif. Intell.;9;1995;0-10-528069-0;362
Comput. Electr. Eng.;72;2018;0-01-811980-8;308
Robotica;30;2012;0-613-73983-3;129
J. ACM;66;2019;1-378-90637-3;317
Commun. ACM;62;2019;0-680-13753-X;284
CoRR;abs/1910.12485;2019;0-328-58493-2;205
Inf. Manag. Comput. Secur.;10;2002;0-387-02165-5;398
CoRR;abs/1005.4021;2010;1-192-02246-7;253
CoRR;abs/1908.03022;2019;0-8281-2802-2;282
Comput. Secur.;22;2003;1-240-02758-3;263
Fuzzy Sets Syst.;81;1996;0-224-64920-5;127
CoRR;abs/2010.07016;2020;0-209-99192-5;336
CoRR;abs/1908.10290;2019;0-585-55977-5;200
CoRR;abs/1910.06380;2019;1-09-878676-9;224
CoRR;abs/1404.2014;2014;1-71963-687-7;337
J. Classif.;27;2010;0-297-30481-X;266
Int. J. Ambient Comput. Intell.;9;2018;0-14-571719-4;299
CoRR;abs/1110.3382;2011;1-5337-7236-3;383
IET Circuits Devices Syst.;15;2021;0-595-97596-8;182
Inf. Serv. Use;33;2013;1-69386-430-4;375
CoRR;abs/2012.01466;2020;0-7414-5707-5;360
CoRR;abs/1909.06236;2019;0-333-60269-2;243
J. Manag. Inf. Syst.;20;2003;1-5128-5091-8;365
Int. J. Inf. Manag.;28;2008;1-55561-553-8;368
CoRR;abs/1703.03603;2017;0-7202-5720-4;156
IEEE Trans. Wirel. Commun.;16;2017;0-7653-6550-2;134
CoRR;abs/2110.11199;2021;0-8165-3057-2;345
Comput. Geom.;65;2017;0-249-60779-4;194
J. Symb. Log.;64;1999;1-4862-7360-2;372
Discret. Math.;226;2001;1-62776-037-7;163
Neural Comput.;32;2020;0-256-97806-9;105
CoRR;abs/1407.5416;2014;0-325-82478-9;157
CoRR;abs/1806.03575;2018;0-17-046878-X;214
CoRR;abs/1903.10842;2019;0-259-60003-2;110
Int. J. Data Warehous. Min.;9;2013;0-502-47669-9;182
Scientometrics;50;2001;1-373-11796-6;338
CoRR;abs/1402.5188;2014;1-75324-165-0;137
J. Netw. Comput. Appl.;33;2010;0-375-58328-9;307
IEEE Trans. Circuits Syst. I Regul. Pap.;51-I;2004;1-69055-426-6;238
Int. J. High Perform. Comput. Appl.;33;2019;0-665-49167-0;330
Nat.;532;2016;1-273-32231-2;152
Theor. Comput. Sci.;423;2012;0-354-37587-3;394
J. Comb. Optim.;31;2016;1-71968-874-5;133
J. High Speed Networks;5;1996;1-993161-86-4;227
CoRR;abs/1912.01718;2019;0-563-40253-9;325
Knowl. Based Syst.;146;2018;0-432-53497-0;364
Int. J. Inf. Manag.;20;2000;1-897694-39-3;300
CoRR;abs/1906.09035;2019;0-8016-5678-8;186
Appl. Math. Comput.;269;2015;0-618-51965-3;213
Signal Process.;92;2012;0-656-33396-0;127
IEEE Trans. Medical Imaging;36;2017;0-544-60045-2;156
Bioinform.;35;2019;0-87815-810-3;242
Inf. Syst. J.;19;2009;0-621-20657-1;391
CoRR;abs/2009.09249;2020;0-556-26103-8;232
IEEE Trans. Autom. Control.;64;2019;0-02-309434-6;321
Algorithmic Finance;3;2014;1-5389-2911-2;283
CoRR;abs/1301.2944;2013;0-7822-7280-0;128
IEEE Technol. Soc. Mag.;25;2006;0-19-013458-5;282
WIREs Data Mining Knowl. Discov.;7;2017;1-4424-1850-8;257
Digit. Signal Process.;22;2012;1-176-32596-5;224
CoRR;abs/1309.2057;2013;0-674-86235-X;173
CoRR;abs/1412.4080;2014;0-00-998481-X;307
Oper. Res. Lett.;34;2006;1-4103-6282-5;126
Scientometrics;68;2006;0-218-39827-1;344
CoRR;abs/2001.05846;2020;1-109-78447-3;249
J. Vis. Lang. Comput.;13;2002;1-165-73991-7;399
CoRR;abs/1604.07803;2016;0-410-68750-2;212
Inf. Syst. Res.;7;1996;0-88242-921-3;280
IEEE/ACM Trans. Netw.;22;2014;1-113-37945-6;336
CoRR;abs/2009.07895;2020;1-72421-499-3;124
CoRR;abs/1409.7936;2014;1-66504-507-8;201
Int. J. Oper. Res. Inf. Syst.;8;2017;1-66701-612-1;384
Cartogr. Int. J. Geogr. Inf. Geovisualization;46;2011;0-345-72826-2;117
CoRR;abs/1111.3859;2011;1-937529-01-0;225
Univers. Access Inf. Soc.;6;2008;1-55690-653-6;358
Int. J. Data Min. Bioinform.;10;2014;1-5238-6106-1;327
Computer;52;2019;1-5173-7526-6;320
J. Frankl. Inst.;357;2020;0-511-81618-9;256
J. Inf. Law Technol.;1997;1997;0-645-00138-4;178
Parallel Comput.;27;2001;1-74487-341-0;314
Int. J. Comput. Integr. Manuf.;24;2011;1-03-198587-5;132
Ann. Oper. Res.;306;2021;0-296-60612-X;191
J. Intell. Inf. Syst.;8;1997;1-74271-844-2;253
Comput. Aided Des.;137;2021;0-01-722407-1;288
Comput. Ind. Eng.;158;2021;0-601-98585-0;272
Univers. Access Inf. Soc.;9;2010;1-64647-635-2;256
Robotics Auton. Syst.;90;2017;0-932844-98-7;325
eLearn Mag.;2004;2004;1-84991-696-9;399
Int. J. Virtual Communities Soc. Netw.;3;2011;1-300-59611-2;102
J. Syst. Archit.;106;2020;0-86664-495-4;228
Educ. Inf. Technol.;24;2019;0-295-52909-1;139
RFC;1976;1996;1-69389-358-4;272
NeuroImage;62;2012;0-391-50891-1;355
CoRR;abs/cs/0607070;2006;1-342-58305-1;144
CoRR;abs/1611.06937;2016;0-574-82793-5;194
Neural Networks;33;2012;1-66059-264-X;391
CoRR;abs/1911.03034;2019;0-525-10854-8;269
CoRR;abs/1912.12406;2019;0-686-00403-5;134
Comput. Phys. Commun.;185;2014;0-432-76672-3;323
CoRR;abs/1802.00278;2018;0-603-82076-X;164
Syst. Eng.;23;2020;0-17-303087-4;329
CoRR;nlin.AO/0211010;2002;1-882102-02-9;177
IEEE Trans. Autom. Control.;44;1999;0-349-70960-2;147
CoRR;abs/2012.06234;2020;0-9676384-7-X;133
Int. J. Comput. Vis.;18;1996;0-668-52014-0;303
CoRR;abs/2011.07318;2020;1-07-003158-5;267
Comput. Aided Geom. Des.;47;2016;1-880547-60-0;140
J. Field Robotics;37;2020;0-18-654064-7;175
CoRR;abs/1612.01041;2016;0-88224-659-3;163
Appl. Math. Comput.;220;2013;0-09-671338-0;373
CoRR;abs/2111.09445;2021;1-4920-0706-4;222
Int. J. Game Based Learn.;5;2015;1-65347-673-7;391
Am. Math. Mon.;124;2017;0-636-39984-2;101
Am. Math. Mon.;118;2011;1-302-11200-7;383
J. Comb. Theory, Ser. A;117;2010;0-647-53284-0;219
Medical Image Anal.;48;2018;1-968205-69-1;326
SIAM J. Discret. Math.;26;2012;0-528-11117-5;336
SIGMOD Rec.;19;1990;1-299-04449-2;324
CoRR;abs/2009.12285;2020;1-67836-242-5;206
CoRR;abs/2009.11644;2020;1-967959-34-X;297
IEEE Trans. Educ.;55;2012;0-88538-251-X;223
Kybernetika;49;2013;1-126-31186-3;132
IEEE Robotics Autom. Mag.;25;2018;0-10-242639-2;156
World Wide Web;24;2021;0-18-592393-3;107
SIAM J. Appl. Math.;65;2004;1-5340-6862-7;147
J. Electron. Commer. Organ.;6;2008;1-106-80542-9;344
CoRR;abs/2201.08622;2022;1-06-579306-5;204
Top. Cogn. Sci.;11;2019;0-242-55457-1;134
Intell. Data Anal.;22;2018;1-63027-123-3;155
J. Math. Imaging Vis.;32;2008;0-7103-9222-2;205
CoRR;abs/2107.09622;2021;0-7616-4429-6;261
CoRR;abs/1902.09671;2019;1-82816-260-4;179
Discret. Comput. Geom.;55;2016;1-243-52791-9;311
Biol. Cybern.;76;1997;0-236-77721-1;304
Int. J. Inf. Commun. Technol.;6;2014;1-86933-704-2;352
